message,created_time,id
2016-02-23T01:46:22+0000,BECAUSE THIS IS A TROLL NOT TRUMP OR A SUPPORTER HILLARY BOY OR Ted Cruz BOY,498650343641204_498700313636207
2016-02-23T01:51:59+0000,Bristol is just a money hungry whore. Spreading her legs willfully getting pregnant. Then living off these idiots breeding her.,498650343641204_498701433636095
2016-02-23T01:53:16+0000,Not sure I care ...,498650343641204_498701696969402
2016-02-23T01:59:11+0000,"I disagree with you lee reedy. Why is that the mother should always be the one to have ""full custody"" of the child. You know, there has only been ONE virgin birth in this world, so you figure out what I'm aiming for here. If not for the man, she would not even have those babies. People are way too quick to want the mother to control everything. My ex used my daughter as a cash machine just because I work in the oil field and I hardly ever saw my daughter when I was home, so take that bullshit to someone who will give you some cheese with your ""whine""

***Chris***",498650343641204_498702823635956
2016-02-23T02:01:21+0000,I think Bristol should learn to use birth control!!!,498650343641204_498703150302590
2016-02-23T02:08:51+0000,,498650343641204_498704180302487
2016-02-23T02:10:36+0000,Who cares,498650343641204_498704363635802
2016-02-23T02:19:41+0000,"If her mom was a simple ( no disrespect) housewife , would anyone care about this ? Js",498650343641204_498705813635657
2016-02-23T02:30:35+0000,She should keep her legs closed 😝😝😝,498650343641204_498708543635384
2016-02-23T02:30:39+0000,I wanna nail her mom...,498650343641204_498708550302050
2016-02-23T02:45:51+0000,Who cares,498650343641204_498710853635153
2016-02-23T03:04:31+0000,"Yes it her baby, the dad drop marriage and left her.",498650343641204_498714303634808
2016-02-23T03:06:25+0000,"Sarah Palin has nothing do with this, so let moved on, vote for Trump,  TRUMP NEED US SO STOP ALL THE THINGS NOT WITH NEXT PRESIDENT",498650343641204_498714640301441
2016-02-23T03:55:56+0000,"And why is this any of our buisness? Be careful of the stones you through, they just might bounce off the glass house that's your target and hit you in the eye.",498650343641204_498723703633868
2016-02-23T04:11:38+0000,"YES,SHE HAS AGREED TO VISITATION,BUT SHE SHOULD GET TO DECIDE THE IMPORTANT THINGS,THE BABY IS TOO YOUNG TO GO FAR AT THIS POINT,HE MADE A BAD CHOICE ,BUT OVER TIME HE CAN ENTER THE BABIES LIFE AND PARTICIPATE.IF HE HAS MATURED.",498650343641204_498725276967044
2016-02-23T04:16:38+0000,"IT IS HARD,WE WENT THROUGH THIS,MY SON IN LAW WAS ONE OF THOSE AIR FORCE ADULTERERS,IT WAS VERY PAINFUL FOR MY DAUGHTER AND I,BUT WE HAVE MOVED ON AND THE CHILDREN ARE DOING WELL.MY DAUGHTER IS STILL SINGLE,AND WORKING ON HER CARER IN INSURANCE,SHE LIVES IN THE FT WORTH ARE.",498650343641204_498725870300318
2016-02-23T01:00:27+0000,anyone  love  this  as much as me  :\,498653890307516_498692336970338
2016-02-23T01:03:20+0000,Lonnie Riddle Sr Everette Riddle sing Trouble in U.S.A. listen to this on Face Book volt Donald J. Trump Donald Trump Is The Man,498653890307516_498692716970300
2016-02-23T01:04:12+0000,DT to DC!!!,498653890307516_498692946970277
2016-02-23T01:06:16+0000,Absolutely.  I like his adviser.,498653890307516_498693333636905
2016-02-23T01:10:37+0000,https://youtu.be/h9PxdDvgQks?t=5 }}}} SHARE THIS THIS IS TRUE MARCO RUBIO WAS BORN MAY 28 1971. HIS PARENTS DID NOT BE COME US CITIZEN TILL 1975 HE CAN NOT RUN FOR THIS OFFICE,498653890307516_498693993636839
2016-02-23T01:15:19+0000,"I wish he would formally back him!! 
Also Gingrich❤️",498653890307516_498694540303451
2016-02-23T01:15:45+0000,Yes -,498653890307516_498694583636780
2016-02-23T01:15:45+0000,"Giuliani would be a great VP... strong, takes no sh#%...Trump 2016",498653890307516_498694586970113
2016-02-23T01:15:55+0000,My V P Pick!!!! Go Trump!!!!!,498653890307516_498694600303445
2016-02-23T01:17:05+0000,VOTE Donald J. Trump,498653890307516_498694816970090
2016-02-23T01:20:28+0000,"Woohoo!! You Go Donald!! ""Rudy Giuliani"" Good Choice!!",498653890307516_498695340303371
